Index,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),Outlier,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,Log2-SiteEnergyUseWN(kBtu)
2440,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1902,1.0,4.0,39030,0,39030,Office,32001.0,Retail Store,6685.0,No Use,0.0,99.0,773324.6875,Normal,47.59979,-122.33318,13.69,0.35,19.560716610170914
2441,2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1909,1.0,3.0,47215,0,47215,Office,23659.0,Retail Store,22376.0,No Use,0.0,58.0,2136896.0,Normal,47.60071,-122.33377,63.81,1.35,21.02708594004047
2442,2016,Nonresidential COS,Other,3,EAST,1926,1.0,2.0,61580,27000,34580,Other,36280.0,Parking,23154.0,No Use,0.0,,4489734.5,Normal,47.61492,-122.31728,69.53,1.13,22.09819902451814
2443,2016,NonResidential,Small- and Mid-Sized Office,3,EAST,1917,1.0,3.0,30720,0,30720,Office,29720.0,Retail Store,1000.0,No Use,0.0,,1361277.25,Normal,47.61459,-122.31724,25.53,0.83,20.376530558183347
2444,2016,NonResidential,Mixed Use Property,3,EAST,1916,1.0,2.0,20640,0,20640,Retail Store,9750.0,Office,9212.0,Restaurant,2450.0,,412562.4063,Normal,47.61428,-122.31726,2.88,0.14,18.654256336643275
2445,2016,NonResidential,Mixed Use Property,3,EAST,1912,1.0,2.0,34914,0,34914,Retail Store,14983.0,Restaurant,10638.0,Office,5837.0,,1314474.5,Normal,47.61421,-122.3193,9.29,0.27,20.326055821696336
2446,2016,NonResidential,Small- and Mid-Sized Office,3,EAST,1906,1.0,3.0,20897,0,20897,Office,10228.0,Retail Store,3433.0,Non-Refrigerated Warehouse,3400.0,,1031474.188,Normal,47.61508,-122.31845,17.79,0.85,19.97627768712648
2447,2016,NonResidential,Retail Store,3,EAST,1916,1.0,2.0,36940,0,36940,Retail Store,36940.0,No Use,0.0,No Use,0.0,100.0,336745.4063,Normal,47.61478,-122.31847,2.35,0.06,18.36130302401204
2448,2016,NonResidential,Small- and Mid-Sized Office,3,EAST,1913,1.0,3.0,22866,0,22866,Office,22866.0,No Use,0.0,No Use,0.0,,1213909.875,Normal,47.61435,-122.31859,20.76,0.91,20.21123107253592
2449,2016,NonResidential,Retail Store,3,EAST,1920,1.0,1.0,30240,0,30240,Retail Store,32205.0,Restaurant,714.0,No Use,0.0,78.0,1316900.75,Normal,47.61466,-122.31984,18.19,0.6,20.328716283882
